Ground,Dark,Adrenaline Orb,Adamant,0,252,0,0,0,252,Anger Point,Rock Slide,Earthquake,Facade,Power Trip,
Steel,Rock,Weakness Policy,Careful,4,0,0,0,0,0,Weak Armor,Giga Drain,Shadow Ball,Stored Power,Teatime,
Fire,None,Life Orb,Jolly,4,252,0,0,0,252,Libero,Sucker Punch,High Jump Kick,Pyro Ball,Coaching,
Fire,Steel,Focus Sash,Adamant,0,252,0,0,0,0,Speed Boost,Protect,Bounce,Crunch,Flip Turn,
Ice,Water,Focus Sash,Jolly,0,0,252,0,0,0,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Fire,Ghost,Choice Scarf,Relaxed,252,0,0,0,0,0,Inner Focus,Extreme Speed,Stone Edge,Crunch,Sacred Fire,
Dragon,None,Choice Scarf,Jolly,140,0,116,0,0,0,Mold Breaker,Rock Tomb,Iron Tail,Earthquake,Breaking Swipe,
Steel,Bug,Focus Sash,Hardy,4,0,0,0,0,0,Sand Rush,Brick Break,Earthquake,Iron Head,Horn Drill,
Grass,None,Sitrus Berry,Brave,252,0,64,0,100,0,Contrary,Protect,Superpower,Leaf Blade,Synthesis,
Dark,None,Focus Sash,Timid,0,0,0,252,0,4,Prankster,Thunder Wave,Foul Play,Fake Tears,Copycat,
Psychic,Water,Leftovers,Adamant,81,0,252,0,0,0,Weak Armor,Protect,Liquidation,X Scissor,Dig,
Rock,Fire,Weakness Policy,Modest,76,0,0,252,0,180,Steam Engine,Protect,Heat Wave,Solar Beam,Meteor Beam,
Ice,Ground,Focus Sash,Modest,0,0,0,252,0,0,Water Absorb,Trick Room,Night Shade,Muddy Water,Strength Sap,
Dark,Ice,Focus Sash,Adamant,0,252,0,0,0,0,Speed Boost,Protect,Bounce,Crunch,Flip Turn,
Dragon,None,Choice Scarf,Jolly,140,0,116,0,0,0,Mold Breaker,Rock Tomb,Iron Tail,Earthquake,Breaking Swipe,
Ghost,Poison,Focus Sash,Timid,252,0,0,0,0,4,Beast Boost,Grass Knot,Sludge Bomb,Power Gem,Acid Spray,
Fighting,Grass,Life Orb,Adamant,4,0,252,0,0,0,Justified,Energy Ball,Leaf Blade,Close Combat,Megahorn,
Steel,Bug,Focus Sash,Hardy,4,0,0,0,0,0,Sand Rush,Brick Break,Earthquake,Iron Head,Horn Drill,
Psychic,Water,Focus Sash,Jolly,0,0,252,0,0,0,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Fighting,None,Focus Sash,Careful,252,0,4,0,0,0,Prankster,Sunny Day,Coaching,Quick Guard,Copycat,
Water,None,Wacan Berry,Brave,252,252,0,0,4,0,Hyper Cutter,Rock Slide,Ally Switch,Wide Guard,Crabhammer,
Grass,Ghost,Room Service,Relaxed,252,0,0,0,0,0,Wandering Spirit,Trick Room,Body Press,Ally Switch,Phantom Force,
Fire,None,Eviolite,Sassy,4,0,252,0,252,0,Intimidate,Fake Out,Parting Shot,Taunt,Overheat,
Electric,None,Weakness Policy,Timid,252,0,0,0,0,0,Sand Rush,Protect,Flare Blitz,Parting Shot,Snarl,
Psychic,Flying,Weakness Policy,Timid,252,0,0,0,0,0,Intimidate,Earthquake,Power Whip,Waterfall,Lash Out,
Dragon,Electric,Focus Sash,Jolly,252,0,0,0,0,0,Compound Eyes,Thunder,Electroweb,Screech,Struggle Bug,
Ground,None,Assault Vest,Adamant,116,252,0,0,0,140,Sand Rush,Bulldoze,Brick Break,Drill Run,Steel Roller,
Grass,Ghost,Room Service,Relaxed,252,0,0,0,0,0,Wandering Spirit,Trick Room,Body Press,Ally Switch,Phantom Force,
Grass,None,Sitrus Berry,Brave,252,0,64,0,100,0,Contrary,Protect,Superpower,Leaf Blade,Synthesis,
Fire,Flying,Sharp Beak,Timid,0,0,0,252,4,252,Gale Wings,Tailwind,Feint,Brave Bird,Quick Guard,
Ground,Steel,Focus Sash,Modest,0,0,0,252,0,0,Water Absorb,Trick Room,Night Shade,Muddy Water,Strength Sap,
Normal,Fairy,Lum Berry,Modest,0,0,148,0,252,0,Competitive,Dazzling Gleam,Flamethrower,Hyper Voice,Focus Blast,
Dragon,Electric,Focus Sash,Jolly,252,0,0,0,0,0,Compound Eyes,Thunder,Electroweb,Screech,Struggle Bug,
Dragon,None,Choice Scarf,Jolly,140,0,116,0,0,0,Mold Breaker,Rock Tomb,Iron Tail,Earthquake,Breaking Swipe,
Fighting,None,Lum Berry,Adamant,252,252,0,0,0,4,No Guard,Close Combat,Wide Guard,Quick Guard,Dynamic Punch,
Fairy,Bug,Rusted Sword,Adamant,252,0,76,0,4,0,Intrepid Sword,Behemoth Blade,Protect,Sacred Sword,Quick Attack,
Normal,None,Life Orb,Jolly,6,252,0,0,0,252,Slow Start,High Horsepower,Giga Impact,Wide Guard,Ice Punch,
Ice,None,Focus Sash,Quiet,244,0,0,252,12,0,Snow Cloak,Yawn,Weather Ball,Freeze Dry,Copycat,
Ghost,None,Power Herb,Modest,224,0,0,0,0,252,Perish Body,Earth Power,Shadow Ball,Power Gem,Burning Jealousy,
