Ground,Grass,Adrenaline Orb,Jolly,252,0,0,4,0,0,Anger Point,Rock Slide,Earthquake,Facade,Power Trip,
Dark,Dragon,Life Orb,Jolly,0,156,0,0,0,100,Hustle,Outrage,Dragon Claw,Bolt Beak,Fire Fang,
Ghost,Flying,Psychic Seed,Impish,252,0,0,0,252,0,Regenerator,Expanding Force,Trick Room,Yawn,Hydro Pump,
Rock,None,Focus Sash,Timid,252,0,0,0,0,0,Sand Rush,Protect,Flare Blitz,Parting Shot,Snarl,
Steel,Fairy,Babiri Berry,Relaxed,244,0,0,0,0,52,Aroma Veil,Trick Room,Moonblast,Dazzling Gleam,Heal Pulse,
Dragon,Psychic,Choice Scarf,Relaxed,252,0,0,0,0,0,Mold Breaker,Rock Tomb,Iron Tail,Earthquake,Breaking Swipe,
Ice,Ghost,Life Orb,Adamant,84,0,252,0,0,0,Slush Rush,Iron Head,Icicle Crash,Drill Run,Triple Axel,
Poison,Dark,Shuca Berry,Careful,252,0,0,0,0,0,Wandering Spirit,Trick Room,Body Press,Ally Switch,Phantom Force,
Steel,Fighting,Assault Vest,Jolly,4,0,0,0,0,0,Justified,Energy Ball,Leaf Blade,Close Combat,Megahorn,
Water,Grass,Life Orb,Adamant,0,252,0,0,0,0,Speed Boost,Protect,Bounce,Crunch,Flip Turn,
Normal,Poison,Weakness Policy,Relaxed,0,0,0,0,252,0,Punk Rock,Snarl,Volt Switch,Sludge Bomb,Overdrive,
Normal,Ground,Assault Vest,Jolly,28,0,0,248,0,4,Motor Drive,Darkest Lariat,Wild Charge,Earthquake,Ice Punch,
Grass,Fire,Coba Berry,Lonely,0,252,0,0,0,0,Battery,Light Screen,Eerie Impulse,Round,Bug Bite,
Fighting,Water,Focus Sash,Jolly,0,0,252,0,0,0,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Poison,Normal,Aguav Berry,Adamant,0,252,0,0,0,0,Water Absorb,Will O Wisp,Trick Room,Shadow Sneak,Crabhammer,
Grass,Poison,Life Orb,Modest,44,0,0,0,0,4,Clear Body,Dazzling Gleam,Hydro Pump,Sludge Bomb,Sludge Wave,
Fighting,Steel,Weakness Policy,Careful,4,0,0,0,0,0,Weak Armor,Giga Drain,Shadow Ball,Stored Power,Teatime,
Ghost,Ice,Psychic Seed,Adamant,0,252,0,0,0,0,Water Absorb,Will O Wisp,Trick Room,Shadow Sneak,Crabhammer,
Fighting,Poison,Weakness Policy,Relaxed,0,0,0,252,0,0,Chlorophyll,Sleep Powder,Sludge Bomb,After You,Strength Sap,
Grass,Poison,Life Orb,Adamant,84,0,252,0,0,0,Slush Rush,Iron Head,Icicle Crash,Drill Run,Triple Axel,
Fairy,Poison,Weakness Policy,Timid,252,0,0,0,0,0,Sand Rush,Protect,Flare Blitz,Parting Shot,Snarl,
Fire,Poison,Aguav Berry,Quirky,0,28,0,0,0,0,Corrosion,Fake Out,Fake Tears,Heat Wave,Sludge Wave,
Ground,Fighting,Weakness Policy,Careful,0,4,0,0,0,0,Regenerator,Air Slash,Sacred Fire,Brave Bird,Burn Up,
Ghost,Psychic,Psychic Seed,Timid,0,4,0,0,0,0,Psychic Surge,Protect,Expanding Force,Dazzling Gleam,Ally Switch,
Flying,Dark,Focus Sash,Jolly,0,156,0,0,0,100,Hustle,Outrage,Dragon Claw,Bolt Beak,Fire Fang,
Flying,Electric,Focus Sash,Jolly,0,0,252,0,0,0,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Bug,Water,Focus Sash,Jolly,0,0,252,0,0,0,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Rock,Electric,Focus Sash,Jolly,0,0,252,0,0,0,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Grass,Steel,Room Service,Relaxed,252,0,0,0,0,0,Wandering Spirit,Trick Room,Body Press,Ally Switch,Phantom Force,
Ghost,Fighting,Weakness Policy,Careful,0,4,0,0,0,0,Regenerator,Air Slash,Sacred Fire,Brave Bird,Burn Up,
Ground,Rock,Weakness Policy,Serious,0,0,4,0,0,0,Intimidate,Protect,Flare Blitz,Parting Shot,Snarl,
Water,Fighting,Life Orb,Jolly,24,0,0,0,0,252,Defiant,Detect,Stomping Tantrum,Brave Bird,Thunderous Kick,
Fire,Dark,Shuca Berry,Adamant,252,0,252,0,0,0,Water Absorb,Will O Wisp,Trick Room,Shadow Sneak,Crabhammer,
Rock,Bug,Focus Sash,Hardy,4,0,0,0,0,0,Sand Rush,Brick Break,Earthquake,Iron Head,Horn Drill,
Dark,Electric,Focus Sash,Jolly,252,0,0,0,0,0,Compound Eyes,Thunder,Electroweb,Screech,Struggle Bug,
Normal,Fighting,Leftovers,Careful,252,0,248,0,4,0,Fluffy,Darkest Lariat,Body Slam,Drain Punch,Bulk Up,
Electric,Ice,Weakness Policy,Adamant,252,0,0,252,0,0,Weak Armor,Protect,Liquidation,X Scissor,Dig,
Ghost,Water,Figy Berry,Adamant,252,0,0,0,0,4,Frisk,Trick Room,Imprison,Power Whip,Shadow Sneak,
Ice,Rock,Focus Sash,Adamant,0,252,0,0,0,0,Speed Boost,Protect,Bounce,Crunch,Flip Turn,
Electric,Fairy,Leftovers,Timid,100,0,0,0,0,0,Competitive,Mud Shot,Hydro Pump,Muddy Water,Coil,
Dragon,Flying,Life Orb,Modest,100,0,0,0,0,4,Static,Thunderbolt,Hurricane,Heat Wave,Detect,
Normal,Grass,Coba Berry,Lonely,0,252,0,0,0,0,Battery,Light Screen,Eerie Impulse,Round,Bug Bite,
Fire,Flying,Weakness Policy,Relaxed,0,0,0,0,252,0,Punk Rock,Snarl,Volt Switch,Sludge Bomb,Overdrive,
Water,Grass,Life Orb,Adamant,0,252,0,0,0,0,Speed Boost,Protect,Bounce,Crunch,Flip Turn,
Electric,None,Weakness Policy,Timid,252,0,0,0,0,0,Sand Rush,Protect,Flare Blitz,Parting Shot,Snarl,
Ground,Grass,Figy Berry,Adamant,252,0,0,0,0,4,Frisk,Trick Room,Imprison,Power Whip,Shadow Sneak,
Ice,Ghost,Life Orb,Modest,100,0,0,0,0,4,Static,Thunderbolt,Hurricane,Heat Wave,Detect,
Psychic,None,Iapapa Berry,Bold,252,0,0,0,124,0,Water Absorb,Protect,Haze,Muddy Water,Scald,
Psychic,Ground,Focus Sash,Sassy,0,0,0,252,0,0,Water Absorb,Trick Room,Night Shade,Muddy Water,Scald,
Fairy,None,Babiri Berry,Relaxed,244,0,0,0,0,52,Aroma Veil,Trick Room,Moonblast,Dazzling Gleam,Heal Pulse,
Bug,Flying,Assault Vest,Modest,252,0,0,0,0,132,Beast Boost,Air Slash,Seed Bomb,Flash Cannon,Iron Head,
Flying,Bug,Focus Sash,Hardy,4,0,0,0,0,0,Sand Rush,Brick Break,Earthquake,Iron Head,Horn Drill,
Psychic,Dark,Focus Sash,Adamant,0,252,0,0,0,0,Water Absorb,Will O Wisp,Trick Room,Shadow Sneak,Crabhammer,
Normal,None,Assault Vest,Jolly,28,0,0,248,0,0,Motor Drive,Darkest Lariat,Wild Charge,Earthquake,Ice Punch,
Flying,Steel,Leftovers,Careful,252,0,248,0,4,0,Fluffy,Darkest Lariat,Body Slam,Drain Punch,Bulk Up,
Fighting,Psychic,Focus Sash,Sassy,252,0,0,0,4,0,Magic Bounce,Expanding Force,Dazzling Gleam,Ally Switch,Weather Ball,
Ground,Poison,Aguav Berry,Quirky,0,28,0,0,0,0,Corrosion,Fake Out,Fake Tears,Heat Wave,Sludge Wave,
Electric,Dragon,Life Orb,Jolly,0,156,0,0,0,100,Hustle,Outrage,Dragon Claw,Bolt Beak,Fire Fang,
Steel,Fighting,Weakness Policy,Careful,4,0,0,0,0,0,Weak Armor,Giga Drain,Shadow Ball,Stored Power,Teatime,
Bug,Dragon,Focus Sash,Lax,0,0,0,252,0,0,Water Bubble,Wide Guard,Liquidation,Leech Life,Entrainment,
Fighting,Fairy,Life Orb,Adamant,4,0,252,0,0,0,Justified,Energy Ball,Leaf Blade,Close Combat,Megahorn,
